,Unique_Key,DATE,TIME,BOROUGH,Zip_Code,LATITUDE,LONGITUDE
360,3590760,2017-01-01,3:48,MANHATTAN,10128.0,40.783309100000004,-73.95280109999999
363,3590028,2017-01-01,4:00,QUEENS,11420.0,40.6805069,-73.8143183
364,3590307,2017-01-01,4:00,QUEENS,11433.0,40.6949861,-73.79990009999999
366,3590234,2017-01-01,4:02,BRONX,10455.0,40.814290500000006,-73.8997274
367,3590616,2017-01-01,4:05,BRONX,10460.0,40.8385781,-73.8691744
369,3591244,2017-01-01,4:10,MANHATTAN,10034.0,40.8655927,-73.9181068
371,3590280,2017-01-01,4:15,BROOKLYN,11233.0,40.681642,-73.9287958
373,3590806,2017-01-01,4:20,BROOKLYN,11219.0,40.625983399999996,-74.0015202
376,3590330,2017-01-01,4:22,QUEENS,11373.0,40.740332099999996,-73.8809222
378,3591163,2017-01-01,4:30,MANHATTAN,10014.0,40.7294421,-74.0022983
379,3594382,2017-01-01,4:30,BROOKLYN,11203.0,40.6607162,-73.9293876
380,3590356,2017-01-01,4:30,BROOKLYN,11221.0,40.689100200000006,-73.9174618
381,3590064,2017-01-01,4:30,BROOKLYN,11201.0,40.693489299999996,-73.9791676
382,3590596,2017-01-01,4:30,QUEENS,11416.0,40.68424,-73.8460949
384,3592178,2017-01-01,4:30,BRONX,10457.0,40.8475785,-73.90632059999999
385,3590482,2017-01-01,4:30,BROOKLYN,11237.0,40.6994387,-73.91228819999999
386,3595712,2017-01-01,4:35,QUEENS,11370.0,40.76517929999999,-73.8880653
388,3590124,2017-01-01,4:45,BRONX,10466.0,40.8982537,-73.8578509
391,3590784,2017-01-01,4:57,QUEENS,11372.0,40.7518849,-73.8837529
393,3591076,2017-01-01,5:00,MANHATTAN,10002.0,40.718942799999994,-73.9880124
394,3590031,2017-01-01,5:00,MANHATTAN,10018.0,40.7561921,-73.99056479999999
398,3590950,2017-01-01,5:15,BRONX,10452.0,40.838156,-73.9211944
399,3594362,2017-01-01,5:15,BROOKLYN,11203.0,40.654101700000005,-73.9257906
400,3590009,2017-01-01,5:15,QUEENS,11354.0,40.7646348,-73.8148887
401,3590016,2017-01-01,5:20,QUEENS,11354.0,40.7627471,-73.8332862
402,3590759,2017-01-01,5:25,MANHATTAN,10128.0,40.78263320000001,-73.9511983
403,3590598,2017-01-01,5:30,MANHATTAN,10012.0,40.7272875,-74.0006314
405,3590786,2017-01-01,5:30,QUEENS,11369.0,40.759384600000004,-73.8669043
407,3590060,2017-01-01,5:35,QUEENS,11413.0,40.6773487,-73.7497068
410,3590757,2017-01-01,5:40,BRONX,10451.0,40.827511799999996,-73.9249432
413,3590018,2017-01-01,5:56,BROOKLYN,11211.0,40.7140658,-73.9493728
414,3590355,2017-01-01,6:00,BROOKLYN,11221.0,40.6891331,-73.91748340000001
415,3590891,2017-01-01,6:00,QUEENS,11420.0,40.6735105,-73.81606090000001
421,3590542,2017-01-01,6:10,MANHATTAN,10025.0,40.794651,-73.9717827
423,3590158,2017-01-01,6:20,QUEENS,11354.0,40.767923100000004,-73.8115366
425,3590618,2017-01-01,6:22,BRONX,10462.0,40.8325205,-73.84278509999999
426,3590560,2017-01-01,6:30,BROOKLYN,11208.0,40.66251389999999,-73.8720068
429,3590715,2017-01-01,6:30,MANHATTAN,10014.0,40.7283688,-74.00536149999999
434,3590725,2017-01-01,6:40,MANHATTAN,10031.0,40.8233146,-73.9490078
435,3590358,2017-01-01,6:45,STATEN ISLAND,10309.0,40.5209185,-74.2351117
437,3590639,2017-01-01,6:50,QUEENS,11377.0,40.742805600000004,-73.91556920000001
438,3591942,2017-01-01,6:50,BRONX,10451.0,40.8133148,-73.9228748
439,3598194,2017-01-01,7:00,BRONX,10466.0,40.903254600000004,-73.841084
440,3590577,2017-01-01,7:00,BROOKLYN,11208.0,40.6885347,-73.87228499999999
442,3591349,2017-01-01,7:35,MANHATTAN,10001.0,40.754622399999995,-73.99712690000001
443,3590578,2017-01-01,7:39,BROOKLYN,11207.0,40.669563000000004,-73.88319
445,3590371,2017-01-01,8:00,STATEN ISLAND,10301.0,40.635901700000005,-74.088792
448,3593027,2017-01-01,8:00,BROOKLYN,11210.0,40.636626899999996,-73.9422507
449,3590137,2017-01-01,8:00,QUEENS,11427.0,40.726229,-73.75670290000001
450,3596302,2017-01-01,8:00,BROOKLYN,11201.0,40.695993200000004,-73.983213
451,3590044,2017-01-01,8:20,BROOKLYN,11210.0,40.6368284,-73.9391663
455,3590937,2017-01-01,8:35,QUEENS,11691.0,40.594235999999995,-73.77200450000001
456,3595645,2017-01-01,8:35,BROOKLYN,11213.0,40.67217539999999,-73.9335716
457,3590177,2017-01-01,8:40,QUEENS,11429.0,40.71198270000001,-73.7387698
458,3590599,2017-01-01,8:45,MANHATTAN,10036.0,40.762025,-74.0011515
460,3590645,2017-01-01,9:00,BRONX,10459.0,40.82717529999999,-73.8888715
461,3590445,2017-01-01,9:00,QUEENS,11378.0,40.7179972,-73.90683100000001
463,3590331,2017-01-01,9:08,QUEENS,11373.0,40.735013099999996,-73.8662385
464,3590820,2017-01-01,9:09,BRONX,10454.0,40.8096976,-73.9156325
465,3590910,2017-01-01,9:15,MANHATTAN,10016.0,40.7497247,-73.9836217
468,3604765,2017-01-01,9:30,BROOKLYN,11210.0,40.636208,-73.94899000000001
469,3590063,2017-01-01,9:30,QUEENS,11004.0,40.7483111,-73.7095345
470,3594310,2017-01-01,9:44,BROOKLYN,11203.0,40.647006899999994,-73.94625970000001
472,3591120,2017-01-02,0:00,MANHATTAN,10012.0,40.7223606,-73.99938309999999
473,3591290,2017-01-02,0:00,QUEENS,11377.0,40.737931,-73.9085532
475,3591306,2017-01-02,0:00,BROOKLYN,11206.0,40.697425,-73.9509469
477,3590726,2017-01-02,0:00,BRONX,10473.0,40.81933239999999,-73.85126690000001
479,3613972,2017-01-02,0:10,BROOKLYN,11203.0,40.65142,-73.93715999999999
480,3591035,2017-01-02,0:12,MANHATTAN,10016.0,40.74898579999999,-73.979955
481,3590721,2017-01-02,0:15,MANHATTAN,10017.0,40.7543484,-73.97697209999998
483,3592685,2017-01-02,0:30,BRONX,10475.0,40.8691519,-73.82409969999999
484,3591207,2017-01-02,0:30,BROOKLYN,11211.0,40.7157016,-73.9557817
486,3590770,2017-01-02,0:35,QUEENS,11368.0,40.749296,-73.8608575
488,3590857,2017-01-02,10:06,BROOKLYN,11208.0,40.6633539,-73.8746365
489,3591211,2017-01-02,10:15,BROOKLYN,11217.0,40.677668,-73.9764397
492,3592384,2017-01-02,10:30,BRONX,10472.0,40.828303000000005,-73.88295090000001
493,3592276,2017-01-02,10:30,BROOKLYN,11229.0,40.594975399999996,-73.9289278
494,3591167,2017-01-02,10:31,STATEN ISLAND,10310.0,40.627821600000004,-74.1212583
497,3591473,2017-01-02,11:00,MANHATTAN,10009.0,40.7292896,-73.9811624
498,3591566,2017-01-02,11:00,MANHATTAN,10128.0,40.7804368,-73.94988199999999
499,3591488,2017-01-02,11:01,BROOKLYN,11236.0,40.6498945,-73.90761440000001
500,3591475,2017-01-02,11:05,MANHATTAN,10028.0,40.7808576,-73.95881490000001
502,3590797,2017-01-02,11:06,BRONX,10452.0,40.8379189,-73.9196479
503,3606850,2017-01-02,11:15,BROOKLYN,11212.0,40.66255,-73.90893
506,3590835,2017-01-02,11:30,QUEENS,11412.0,40.6970651,-73.76969820000001
507,3591135,2017-01-02,11:30,QUEENS,11420.0,40.6638597,-73.82296140000001
509,3590995,2017-01-02,11:45,BROOKLYN,11225.0,40.660905,-73.94922209999999
510,3591114,2017-01-02,11:45,MANHATTAN,10004.0,40.70359929999999,-74.0143905
511,3591112,2017-01-02,11:45,MANHATTAN,10035.0,40.802078200000004,-73.936989
512,3590822,2017-01-02,11:50,QUEENS,11374.0,40.7115989,-73.8581876
514,3591132,2017-01-02,11:55,QUEENS,11414.0,40.6574995,-73.8394637
515,3593623,2017-01-02,12:00,QUEENS,11436.0,40.6804771,-73.792091
517,3590832,2017-01-02,12:00,QUEENS,11104.0,40.7494718,-73.9183795
521,3591274,2017-01-02,12:02,BROOKLYN,11228.0,40.6222364,-74.009002
522,3592639,2017-01-02,12:05,BROOKLYN,11212.0,40.6594846,-73.918295
523,3590828,2017-01-02,12:10,MANHATTAN,10001.0,40.75080139999999,-73.99074959999999
525,3590854,2017-01-02,12:15,MANHATTAN,10024.0,40.7843119,-73.9730437
526,3591228,2017-01-02,12:30,BRONX,10458.0,40.8620661,-73.8948254
528,3591096,2017-01-02,12:30,QUEENS,11373.0,40.7347617,-73.87454179999999
532,3590848,2017-01-02,12:40,QUEENS,11369.0,40.7580364,-73.87635329999999
534,3591073,2017-01-02,12:41,MANHATTAN,10002.0,40.721026200000004,-73.9894298
537,3591137,2017-01-02,12:45,QUEENS,11420.0,40.6668946,-73.8054526
538,3591072,2017-01-02,12:47,BRONX,10462.0,40.833153,-73.85303
540,3591751,2017-01-02,12:50,QUEENS,11691.0,40.6022442,-73.7541477
