UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED
3597389,1/12/2017,12:30,,,40.8886743,-73.8909135,"(40.8886743, -73.8909135)",,,,1
3597059,1/12/2017,12:34,,,40.7265621,-73.9720374,"(40.7265621, -73.9720374)",,,,0
3597140,1/12/2017,12:40,,,,,,MAIN STREET,,,0
3597073,1/12/2017,12:41,QUEENS,11422,40.6655588,-73.7298428,"(40.6655588, -73.7298428)",SUNRISE HIGHWAY,HOOK CREEK BOULEVARD,,1
3597495,1/12/2017,12:45,,,40.8363213,-73.8722538,"(40.8363213, -73.8722538)",,,,0
3597933,1/12/2017,12:45,,,,,,,,,0
3600196,1/12/2017,12:50,BROOKLYN,11219,40.6306327,-74.0092229,"(40.6306327, -74.0092229)",65 STREET,FORT HAMILTON PARKWAY,,0
3597204,1/12/2017,12:50,MANHATTAN,10022,40.7583082,-73.9629257,"(40.7583082, -73.9629257)",EAST 57 STREET,1 AVENUE,,0
3597074,1/12/2017,12:55,QUEENS,11422,40.6676788,-73.735007,"(40.6676788, -73.735007)",,,242-11    138 AVENUE,0
3597617,1/12/2017,12:56,QUEENS,11379,40.7121614,-73.8850738,"(40.7121614, -73.8850738)",METROPOLITAN AVENUE,70 STREET,,0
3597171,1/12/2017,13:00,BROOKLYN,11208,40.6818579,-73.878528,"(40.6818579, -73.878528)",,,3155      FULTON STREET,0
3597650,1/12/2017,13:00,BROOKLYN,11216,40.6798697,-73.9398121,"(40.6798697, -73.9398121)",,,1531      FULTON STREET,0
3597637,1/12/2017,13:00,BROOKLYN,11219,40.6286539,-73.9951617,"(40.6286539, -73.9951617)",14 AVENUE,58 STREET,,0
3597630,1/12/2017,13:00,BROOKLYN,11220,40.6420267,-73.9991748,"(40.6420267, -73.9991748)",9 AVENUE,46 STREET,,0
3597139,1/12/2017,13:00,QUEENS,11356,40.7816716,-73.8292055,"(40.7816716, -73.8292055)",,,139-15    20 AVENUE,1
3597789,1/12/2017,13:00,BROOKLYN,11238,40.6784876,-73.9621048,"(40.6784876, -73.9621048)",,,561       GRAND AVENUE,0
3597113,1/12/2017,13:06,STATEN ISLAND,10306,40.5704668,-74.1097619,"(40.5704668, -74.1097619)",NEW DORP LANE,HYLAN BOULEVARD,,0
3597152,1/12/2017,13:10,QUEENS,11101,40.7375371,-73.9299449,"(40.7375371, -73.9299449)",HUNTERS POINT AVENUE,GREENPOINT AVENUE,,0
3597371,1/12/2017,13:10,,,,,,EAST 47 STREET,,,0
3597223,1/12/2017,13:14,,,,,,32 ROAD,,,0
3596937,1/12/2017,13:15,,,,,,HAMILTON AVENUE,,,0
3598438,1/12/2017,13:20,BROOKLYN,11223,40.6092524,-73.9690411,"(40.6092524, -73.9690411)",AVENUE P,EAST 5 STREET,,0
3597174,1/12/2017,13:20,,,,,,MEEKER AVENUE,GRAHAM AVENUE,,1
3597091,1/12/2017,13:20,BROOKLYN,11206,40.6944979,-73.9372854,"(40.6944979, -73.9372854)",,,333       HART STREET,0
3598950,1/12/2017,13:20,MANHATTAN,10017,40.7540773,-73.9799355,"(40.7540773, -73.9799355)",,,521       5 AVENUE,0
3597225,1/12/2017,13:25,,,,,,EAST 117 STREET,,,0
3597276,1/12/2017,13:30,BROOKLYN,11234,40.6388362,-73.9231665,"(40.6388362, -73.9231665)",PRESTON COURT,EAST 56 STREET,,0
3597362,1/12/2017,13:30,BROOKLYN,11236,40.6310201,-73.8877139,"(40.6310201, -73.8877139)",,,9534      SCHENCK STREET,0
3597730,1/12/2017,13:30,,,,,,UTICA AVENUE,,,0
3597241,1/12/2017,13:37,,,40.7831836,-73.9436089,"(40.7831836, -73.9436089)",,,,0
